_id,Rank,Name,Type,Tags,Rating,Release_year,Content_Warning
65c1302ac4c62c40d88488e0,414,Laputa: Castle in the Sky,Movie,"Adventure, Fantasy, Family Friendly, Original Work",4.15,1986,
65c1302ac4c62c40d8848814,210,My Neighbor Totoro,Movie,"Fantasy, Slice of Life, Contemporary Fantasy, Countryside, Family Friendly, Family Life, Japanese Mythology, Non-Human Protagonists, Siblings, Original Work",4.25,1988,
65c1302ac4c62c40d8848835,243,Grave of the Fireflies,Movie,"Drama, Autobiographies, Death of a Loved One, Historical, Lifestyle Change, Melancholy, Orphans, Poverty, Siblings, War, World War 2",4.23,1988,
65c1302ac4c62c40d88488e1,415,Kiki's Delivery Service,Movie,"Fantasy, Slice of Life, Apprenticeship, Europe, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel",4.15,1989,
65c1302bc4c62c40d884914f,2573,Only Yesterday,Movie,"Drama, Josei, Slice of Life, Countryside, Based on a Manga, Mature Themes,, Domestic Abuse",3.72,1991,"Mature Themes,, Domestic Abuse"
65c1302bc4c62c40d8848b9a,1112,Porco Rosso,Movie,"Action, Adventure, Aviation, Curse, Europe, Pigs, Pirates, Based on a Manga",3.95,1992,
65c1302cc4c62c40d884bd90,13902,Sora Iro no Tane,Other,"Family Friendly, Shorts",2.86,1992,
65c1302cc4c62c40d884c1a8,14950,Nandarou,Other,Shorts,2.54,1992,
65c1302bc4c62c40d884ab14,9170,Ocean Waves,TV Sp,"Drama, Romance, Slice of Life, Coming of Age, School Life, Based on a Novel",3.28,1993,
65c1302bc4c62c40d88493e1,3231,Pom Poko,Movie,"Adventure, Fantasy, Animal Protagonists, Anthropomorphic, Contemporary Fantasy, Environmental, Family Friendly, Japanese Mythology, Non-Human Protagonists, Original Work",3.64,1994,
65c1302ac4c62c40d88488b4,370,Whisper of the Heart,Movie,"Comedy, Drama, Romance, Shoujo, Slice of Life, Coming of Age, Family Friendly, Based on a Manga",4.17,1995,
65c1302bc4c62c40d8848f80,2110,On Your Mark,Music,"Angels, Family Friendly, Police",3.78,1995,
65c1302ac4c62c40d8848795,83,Princess Mononoke,Movie,"Action, Adventure, Fantasy, Curse, Environmental, Feudal Japan, Forest, Japanese Mythology, Royalty, Original Work",4.36,1997,
65c1302bc4c62c40d8849988,4678,My Neighbors The Yamadas,Movie,"Comedy, Slice of Life, Family Friendly, Family Life, Based on a 4-Koma Manga, Based on a Manga",3.53,1999,
65c1302bc4c62c40d884ab6b,9257,Ghiblies,Other,Comedy,3.27,2000,
65c1302ac4c62c40d884875f,29,Spirited Away,Movie,"Adventure, Fantasy, Curse, Family Friendly, Japanese Mythology, Magic, Person in a Strange World, Youkai, Original Work",4.45,2001,
65c1302bc4c62c40d8848f4f,2061,Mei and the Baby Cat Bus,Movie,"Adventure, Fantasy, Animal Protagonists, Cats, Contemporary Fantasy, Countryside, Family Friendly, Ghibli Museum Shorts, Non-Human Protagonists, Shorts",3.78,2001,
65c1302bc4c62c40d8849921,4575,Koro's Big Day Out,Movie,"Adventure, Animal Protagonists, Dogs, Family Friendly, Ghibli Museum Shorts, Non-Human Protagonists, Pets, Shorts",3.54,2001,
65c1302bc4c62c40d884a2f7,7093,The Whale Hunt,Movie,"Fantasy, Family Friendly, Ghibli Museum Shorts, Shorts",3.39,2001,
65c1302cc4c62c40d884ba8e,13132,Lawson: Spirited Away CM,Other,"Commercials, Promotional, Work Life",2.97,2001,
65c1302cc4c62c40d884c0ef,14765,Umacha,Other,"Commercials, Food and Beverage, Promotional, Short Episodes",2.63,2001,
65c1302ac4c62c40d8848a72,816,The Cat Returns,Movie,"Fantasy, Animal Protagonists, Animal Transformation, Anthropomorphic, Cats, Contemporary Fantasy, Family Friendly, Non-Human Protagonists, Based on a Manga",4.02,2002,
65c1302bc4c62c40d8849af8,5046,Kuusou no Sora Tobu Kikai-tachi,Movie,"Fantasy, Ghibli Museum Shorts, Historical, Shorts",3.5,2002,
65c1302bc4c62c40d884a285,6979,House Foods: Ouchi de Tabeyou,Other,"Commercials, Short Episodes",3.39,2003,
65c1302ac4c62c40d8848774,50,Howl's Moving Castle,Movie,"Adventure, Fantasy, Romance, Curse, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel",4.43,2004,
65c1302bc4c62c40d884a84c,8458,Ghibli ga Ippai Special Short Short,Other,"Commercials, Promotional, Short Episodes",3.32,2005,
65c1302cc4c62c40d884bdff,14013,Meiko Haigo: Dore Dore no Uta,Music,"Animal Protagonists, Family Friendly, Insects, Non-Human Protagonists",2.84,2005,
65c1302bc4c62c40d884936f,3117,The Day I Bought a Star,Movie,"Sci Fi, Ghibli Museum Shorts, Shorts",3.66,2006,
65c1302bc4c62c40d88499cf,4749,Tales from Earthsea,Movie,"Action, Drama, Fantasy, Based on a Novel, Violence",3.53,2006,Violence
65c1302bc4c62c40d884a269,6951,House Hunting,Movie,"Adventure, Fantasy, Ghibli Museum Shorts, Shorts",3.4,2006,
65c1302bc4c62c40d884a354,7186,Monmon the Water Spider,Movie,"Fantasy, Romance, Animal Protagonists, Family Friendly, Ghibli Museum Shorts, Insects, No Dialogue, Non-Human Protagonists, Shorts, Original Work",3.38,2006,
65c1302cc4c62c40d884bd0f,13773,Taneyamagahara no Yoru,Movie,"Countryside, Picture Drama, Shorts",2.88,2006,
65c1302bc4c62c40d884ae2e,9964,Iblard Jikan,OVA,"Fantasy, No Dialogue, Original Work",3.23,2007,
65c1302ac4c62c40d88489db,665,Ponyo on the Cliff by the Sea,Movie,"Fantasy, Contemporary Fantasy, Family Friendly, Magic, Mermaids, Non-Human Protagonists, Ocean, Original Work",4.07,2008,
65c1302cc4c62c40d884bb37,13301,Yui Aragaki: piece,Music,Slice of Life,2.95,2009,
65c1302cc4c62c40d884bf29,14311,Yomiuri Shimbun,Other,"Commercials, Historical, Promotional",2.77,2009,
65c1302ac4c62c40d884899f,605,The Secret World of Arrietty,Movie,"Fantasy, Contemporary Fantasy, Family Friendly, Based on a Novel",4.08,2010,
65c1302bc4c62c40d8849412,3280,A Sumo Wrestler's Tail,Movie,"Comedy, Sports, Animal Protagonists, Anthropomorphic, Ghibli Museum Shorts, Hand to Hand Combat, Non-Human Protagonists, Shorts, Sumo Wrestling, Wrestling",3.64,2010,
65c1302bc4c62c40d884a44d,7435,Mr. Dough and the Egg Princess,Movie,"Fantasy, Anthropomorphic, Family Friendly, Food Protagonists, Ghibli Museum Shorts, Magic, Non-Human Protagonists, Shorts, Witches",3.37,2010,
65c1302cc4c62c40d884b246,11012,Nisshin Seifun Group CM,Other,"Animal Protagonists, Cats, Commercials, Non-Human Protagonists, Promotional, Short Episodes",3.16,2010,
65c1302ac4c62c40d88489b8,630,From Up on Poppy Hill,Movie,"Drama, Romance, Shoujo, Slice of Life, Coming of Age, Historical, School Life, Based on a Manga",4.08,2011,
65c1302bc4c62c40d884a1e5,6819,Treasure Hunting,Movie,"Animal Protagonists, Anthropomorphic, Family Friendly, Ghibli Museum Shorts, Non-Human Protagonists, Rabbits, Shorts",3.4,2011,
65c1302ac4c62c40d8848964,546,The Tale of the Princess Kaguya,Movie,"Fantasy, Coming of Age, Feudal Japan, Historical, Japanese Mythology, Royalty",4.1,2013,
65c1302ac4c62c40d88489cd,651,The Wind Rises,Movie,"Drama, Romance, Aviation, Biographies, Historical, War, World War 2",4.07,2013,
65c1302ac4c62c40d8848914,466,When Marnie Was There,Movie,"Drama, Coming of Age, Based on a Novel",4.13,2014,
65c1302cc4c62c40d884bc99,13655,Taiko Drum Master: 15 Shuunenkinen Short Animation,Web,"Anthropomorphic, Music, Shorts, Based on a Video Game",2.9,2015,
65c1302bc4c62c40d884ae62,10016,Choujuu Giga,Web,"Animal Protagonists, Environmental, No Dialogue, Non-Human Protagonists, Promotional, Rabbits, Short Episodes",3.23,2016,
65c1302cc4c62c40d884bf49,14343,Tonari no Onigiri-kun,Other,"Commercials, Food and Beverage, Promotional, Short Episodes",2.76,2016,
65c1302bc4c62c40d8849579,3639,Boro the Caterpillar,Movie,"Adventure, Animal Protagonists, Family Friendly, Ghibli Museum Shorts, Insects, Non-Human Protagonists, Shorts, CG Animation",3.61,2018,
65c1302cc4c62c40d884b398,11350,Lawson: Machi no Hot Station CM,Other,"Commercials, Promotional, Work Life",3.14,2019,
65c1302cc4c62c40d884b837,12533,Earwig and the Witch,TV Sp,"Fantasy, Family Friendly, Magic, Orphans, Supernatural, Witches, Based on a Novel, CG Animation",3.04,2020,
65c1302cc4c62c40d884c970,16942,Kimitachi wa dou ikiru ka,Movie,Drama,,,
